prolific_id,participant_id,trial_type,trial_index,image_shown,image_category,like_state,share_state,image_index,scroll_to_bottom,political_affiliation,consented,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,gender,age,language,education,employment,party,party_lean,political_ideology,political_follow,rep_id,dem_id,sm_use,sm_use_slider,sm_use_poli,sm_use_poli_slider,sm_post_poli,sm_post_poli_slider,share_why
TEST123,176,social-media-feed,4,Slide537.png,rep_outgroup_blame,,,78,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide12.png,neutral_political,,,79,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide489.png,dem_outgroup_blame,,,80,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide517.png,dem_outgroup_blame,,,81,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide690.png,distractor,,,82,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide11.png,neutral_political,true,,83,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide676.png,distractor,,,84,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide587.png,neutral_political,,,85,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide588.png,neutral_political,,,86,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide475.png,rep_ingroup_praise,,,87,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide478.png,rep_outgroup_blame,,,88,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide13.png,neutral_political,,,89,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide476.png,rep_outgroup_blame,,,90,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide473.png,rep_ingroup_praise,,,91,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide560.png,neutral_political,true,,92,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide551.png,neutral_political,,,93,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide508.png,rep_outgroup_blame,,,94,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide504.png,rep_ingroup_praise,,,95,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide589.png,neutral_political,,,96,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide486.png,dem_outgroup_blame,,,97,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide482.png,dem_ingroup_praise,,,98,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide511.png,dem_ingroup_praise,,,99,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,4,Slide679.png,distractor,,,100,true,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,instructions,5,,,,,,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide651.png,distractor,,,1,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide363.png,dem_ingroup_praise,,true,2,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide56.png,rep_outgroup_blame,,,3,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide77.png,neutral_political,,,4,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide245.png,dem_ingroup_praise,,,5,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide314.png,neutral_political,,,6,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide227.png,neutral_political,,,7,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide574.png,dem_ingroup_praise,,,8,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide233.png,rep_ingroup_praise,,,9,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide226.png,neutral_political,,,10,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide330.png,rep_outgroup_blame,,,11,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide163.png,neutral_political,,,12,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide522.png,neutral_political,,,13,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide466.png,neutral_political,,,14,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide311.png,neutral_political,,,15,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide133.png,neutral_political,,,16,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide627.png,distractor,true,,17,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide336.png,dem_outgroup_blame,,,18,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide649.png,distractor,,,19,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide357.png,rep_outgroup_blame,,,20,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide548.png,dem_outgroup_blame,,,21,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide154.png,dem_ingroup_praise,,,22,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide547.png,dem_outgroup_blame,,,23,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide408.png,neutral_political,,,24,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide241.png,dem_ingroup_praise,,,25,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide20.png,neutral_political,,,26,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide167.png,neutral_political,,,27,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide159.png,dem_outgroup_blame,,,28,,republican,,,,,,,,,,,,,,,,,,,,,,,
