prolificID,experiment_id,condition,gender,age,blame_prescriptive,praise_prescriptive
89EA36AFC195405AA51A158950DE4D3C,eNqCUq,2,Male,48,2,-1
615CE3AC870A4739B556C35941BA105C,eNqCUq,3,Female,39,-3,0
45E3DC1ABFB543F7B8FE97B44BAEC48A,eNqCUq,4,Male,24,2,1
1F9E0E8BF5B945C29E11BD076B4AA1AB,ewMHzB,3,Male,53,0,2
A692729E73D24CA1921D9B6064D17C62,ewMHzB,3,Male,31,-1,2
352F50BB940746CDBA37845760C42016,ewMHzB,2,Female,39,3,2
A193C4189E6F499C9BA523E0CE2A754D,eNqCUq,4,Female,42,0,3
4AB6BE0580574801B6674EACB1A160FD,ewMHzB,1,Male,49,0,1
5771BBE6465940CA82548F137A6790D9,eNqCUq,3,Female,56,3,3
A4A95914F4CD4EE692D7528A29162306,eNqCUq,3,Male,27,1,1
5A60105F60934974AF21B0EAF5C79C99,ewMHzB,4,Male,25,-1,2
47FDBD463AEA4B3697C720C600B69789,eNqCUq,2,Male,66,2,3
8FD1D7CFE8C146558D361B11982CFF04,eNqCUq,3,Female,29,-1,2
48FB76E2239F4550840F64CD58FFCCF6,eNqCUq,2,Male,33,1,1
242540AED1C7463890838C715C926676,ewMHzB,1,Male,65,0,2
8FBE64270BBF44AA804EFF87C58C476E,eNqCUq,3,Male,26,0,0
E518D65D34ED44BEA1837F4A2C31CDBB,eNqCUq,1,Male,24,0,-1
F5C1CC6E1BB14EB996C4F8AB214DFDF0,ewMHzB,3,Male,25,-1,2
0522994848414644B35705D563A188A0,eNqCUq,2,Male,29,0,2
22F6610613CF45439EA016971D6744B2,eNqCUq,3,Female,35,1,2
CFE1E66853804A0FB13D55C25FD6BEB2,ewMHzB,2,Male,31,2,3
98F8387E471B4D0781A577E9B6035AE4,ewMHzB,4,Male,29,1,1
105577D2EA3E440D8B04D17D6F2BA615,ewMHzB,1,Female,32,-1,2
F243AEDE125D4199B78C419635A263F3,eNqCUq,1,Male,26,3,1
634AE41E2B1A4F24A17D716F7BEA7964,eNqCUq,1,Female,50,2,-1
35244B8BBC4447BBA8FCCC6D72D8C277,ewMHzB,4,Female,40,-2,3
570E4E9885394B7A94B82FDA41DB5FB5,eNqCUq,3,Male,37,3,1
3400CE934CB64E398E1337F02C72875C,eNqCUq,1,Male,32,0,2
C52B0D3555734D5696B0983A0ED9A80D,ewMHzB,3,Female,56,3,3
401F5E2305B44387A0E8F47C91A50596,ewMHzB,3,Male,58,3,3
0F56DBF6A6F34D1FB4B734C1730C583C,eNqCUq,3,Female,43,-3,2
99740064F7D04536933BC928F9EAABED,eNqCUq,3,Female,30,1,0
F22A38139CA34CA380C5E1036542E2DC,ewMHzB,3,Male,19,1,1
4D3C479FD6C2431C933E7BB3C0B2DDFB,eNqCUq,1,Male,31,-1,3
F57703A11BAF4D219EF45F0832FEA726,ewMHzB,2,Female,41,3,3
D46E83503B1E4843808381187099E3CB,ewMHzB,1,Female,25,-1,2
BB0CC479FAD4476E857766D673E0CDA6,eNqCUq,2,Female,51,-1,1
94A520AAFD4C48F7A0AB0450F0E1BC81,eNqCUq,1,Female,33,2,1
8FDB4436C83A472D9C703368E81AC551,ewMHzB,4,Female,27,-1,0
784A96937A0F44E1BA55D7971CA37B7A,ewMHzB,2,Female,40,0,3
6D1184B973EE42BBA25592B2989F2B29,eNqCUq,1,Male,33,2,2
158396F38AE44011A4362D84E9A32FF8,ewMHzB,4,Male,31,0,3
61A13B482CA74777A9B903EA74B0E610,ewMHzB,1,Female,29,-2,2
7CDD8E69CAAA427E9BA1BF146DAE2400,eNqCUq,1,Female,39,1,2
21D6DE95AB7E459AA06036FF90C581E3,eNqCUq,1,Female,34,3,0
0BC36CBA4FD4434EAB16CA3AF287E1E9,eNqCUq,2,Female,62,1,3
2228F0078FB0461FA4C8F5F0F6743D8F,eNqCUq,1,Female,25,2,1
95F3BA016E7D4F3AA6C4242A4978105E,ewMHzB,3,Female,46,1,3
F92D146F84D24DFDAE29D743E7CF53C4,ewMHzB,4,Female,46,-1,3
EF28F03362064AB880C58C53E882F0C6,eNqCUq,4,Female,36,2,-1
AADA39CC0AA64DFB84C73828D0AEBDFB,ewMHzB,4,Female,46,1,3
49A4956745BD4F77B5D1640877FFDFA6,ewMHzB,2,Female,34,1,1
57A27069E69D42AFB2DEE34D5445529B,ewMHzB,1,Female,24,2,2
C389F7D0701E4E23A56A60153E7765CA,ewMHzB,4,Female,33,1,2
56CA9467CAB24684A65453923003CD57,eNqCUq,4,Male,22,-2,2
CBDB9ABD3EFB4292A61DEB5B5A0B4F3F,ewMHzB,1,Female,66,3,3
9900A5E6B9B94E43ACE8FD7546D9528F,eNqCUq,2,Female,58,2,3
F1D2763E403A4134AD2B97B073378695,eNqCUq,4,Male,38,-2,2
62C7A432E9A34FFEABCE35DC5677A267,ewMHzB,1,Female,23,1,-2
584D291484C84636A034BA28C614B0B9,eNqCUq,1,Male,32,3,3
91A9C126881844ECA76C9AC072C457F0,ewMHzB,4,Female,55,-3,-1
C416DE53ADCA471B9BEF368264E48089,ewMHzB,2,Male,24,-1,2
50702036006D4A2EB5A1D51F641BEF19,eNqCUq,3,Female,47,-2,2
8592322B05E74DAC8866C1BF6D8893A7,ewMHzB,4,Male,22,-2,0
FED47771B9FC4D89A8169A1A248F2EA2,ewMHzB,4,Male,22,-1,0
F5AF9A421C124609BFA99D97FB6E4965,ewMHzB,1,Female,41,1,2
85483A6D4E4C48D1AD00E23C254A37EE,ewMHzB,2,Female,41,-1,2
E808650537B54DC0A1F8C2756DEDFAF7,eNqCUq,2,Male,48,1,2
E400CD2FC85F47798D401C2849CD0FDF,eNqCUq,2,Male,28,-1,2
1E52E947E07B491E80B0F5ACDA1E25BC,eNqCUq,4,Male,32,1,3
E8D676F7FF604279A9E8D934EDBC8D18,ewMHzB,4,Female,19,-1,3
0A9F6618CE444773AE29D00B4B711C34,ewMHzB,1,Male,34,0,0
402FC43039C24BC4B94DE907EFFA8105,eNqCUq,1,Female,32,2,1
5DB2455B103E49C5B218C60D5E808F05,eNqCUq,2,Female,32,3,3
7414F0F7BABB45C293D90A7A67DAAD80,ewMHzB,2,Male,39,1,2
0D4573619FE44AFBA261F7767D276C07,eNqCUq,4,Male,39,-1,1
D353CF52E05F4DF79E06B910898AA466,eNqCUq,3,Female,30,1,1
077C1636CE60415B8D5CA906285AEA85,eNqCUq,3,Male,24,1,1
F0C4A75C2FA34A26B9B34CCC4C55A0C2,eNqCUq,3,Male,24,2,2
DCAD7915461B431F96EC17C05724DF5A,eNqCUq,1,Male,27,2,2
668901E0145344EB845124619F025901,ewMHzB,3,Male,25,-1,2
0F2E0CA76F7741D2B5D9B4957E7A7D52,ewMHzB,4,Male,25,0,3
72688532D7514D9BA1C4DCEF8B8D2BFC,eNqCUq,2,Female,28,-1,2
A8D26EE4661F462B84F0E58E0046FA98,ewMHzB,1,Male,33,2,2
574DFE419C3144DDBC8A0E9EC69DAFDC,ewMHzB,1,Male,49,2,2
1D58923B24684145AB84FAFAD4323C93,eNqCUq,2,Male,30,-1,2
725AECEB549045BAAA4159DBD8D7301B,ewMHzB,2,Male,38,1,2
34022E24D13A4BF9A0004B7F307876CB,eNqCUq,3,Female,23,2,2
3CAC3DEC00924787BBF4468A963898C2,eNqCUq,4,Male,30,2,2
2B50AF84B20F4C72A2BEC62B8BBAECC5,ewMHzB,3,Male,64,-3,3
54E08CC5131545929259087CA047B186,eNqCUq,3,Female,22,-1,-1
889A3E5CBD044DADA7360EF5D45958FA,ewMHzB,1,Female,40,1,2
870FB7B0CA73406EA65982559BC7ACB4,ewMHzB,1,Male,66,3,3
3D97B3A8899445649086C32172768C9D,ewMHzB,4,Male,32,0,0
3C4425C7BF0D401DB736A8D78F581AD3,ewMHzB,1,Male,30,0,3
84863CE4111C44B1AD01CF6949765645,eNqCUq,2,Male,34,2,0
1AE8E97D04AA4543882D0F00624A2EF7,eNqCUq,4,Female,26,-2,0
E0D37C45A1144483BA966A77FCFBCB77,eNqCUq,2,Female,28,-1,3
D3195B8948C74DE6B77A7756884AE987,ewMHzB,3,Female,24,2,3
73361ED9463A4CCA92ED7418D7585B7C,ewMHzB,2,Male,38,1,1
D5711E975E614D75B8AF1C5045B0E159,eNqCUq,3,Female,22,2,1
9D46E55C050B499FA47166FF8062B332,ewMHzB,1,Male,35,1,3
6060F35B59F44FE99E5CA9DE8F330B37,ewMHzB,2,Female,28,2,2
74341A9B32FB422A803FF25453B23728,eNqCUq,3,Male,22,1,2
F2046640832B4032B62737B9EB0C3BAE,ewMHzB,2,Female,43,0,0
4C35087FD53F4068A3EC085623BDA755,eNqCUq,1,Female,52,1,3
73C45356DA334A42807BF2767A437C93,eNqCUq,3,Male,26,-3,3
DFBA597C1B2247CC9A20C9A22CF8B2DD,ewMHzB,2,Female,56,1,NA
9DC0D823AA5E444DA80891ED930FA5AD,eNqCUq,1,Female,22,0,0
7F224246DED8412BB498DBC86BAFAAE0,ewMHzB,1,Male,38,-1,1
347E5794C016472C983499D1639859D2,eNqCUq,2,Male,28,1,2
6C34C7957D184E95A4F07FA87B39EEAB,ewMHzB,3,Female,26,2,2
19901DF3F6044D41B40BC22E4A11B739,ewMHzB,2,Female,28,NA,2
A5CC52B218E5404CB2D501A1AE63F95A,ewMHzB,1,Male,39,1,2
D21349B03B6844DCA27A9F9C8585BA42,ewMHzB,1,Female,25,-1,0
F830F5D4CB444C9789633B85E0456134,ewMHzB,2,Male,26,-2,0
8A768CE9089847EF984F0CC67E29CE0C,eNqCUq,3,Male,64,1,-1
3312391F06C34DA6AEDCFC86CD3CFCC2,ewMHzB,1,Male,28,2,3
766753950A0E4C74AFBD977A1824EA32,ewMHzB,3,Female,25,1,0
4A096E81FE3E489ABF7AAD3943F4E98C,ewMHzB,2,Female,33,-2,3
4420EF8FD78F4FE5AF6D08B12564F93A,eNqCUq,2,Male,35,2,2
7DC4B5BDA1B44323982F9AAD00423EC6,ewMHzB,4,Male,29,3,3
1B7EB51B2B1F4110920286EEBE7790FF,ewMHzB,2,Male,27,2,2
CDD692C1A72242A89B689A3F690E9AE3,eNqCUq,3,Male,23,2,2
7DC2E181C3254780A1D8F8D0539AB910,ewMHzB,2,Female,29,-1,2
060C175461B14C81B48F13811E9FB42D,ewMHzB,2,Female,30,1,2
5A22ED1644A44A5C897FE74FB5315F90,eNqCUq,4,Female,27,3,2
4DE689B463D14BD6A36EF6F0258866E9,ewMHzB,4,Male,28,0,3
A15DB2251BC54B749EC57C8171DCEC6B,ewMHzB,4,Female,23,-1,1
C459124E804E490CA5B3A980AF47A00E,ewMHzB,3,Male,28,2,2
B653081AC17D4888A05F332392B6F18A,eNqCUq,3,Female,31,2,2
F7D40967AFF441E08EE288EBFBFBB8E6,ewMHzB,4,Male,34,-2,3
393DF98A567444FEA4996A5F41928257,ewMHzB,1,Female,20,2,2
37A450B304C24E0DBD3DEE4465241AD2,eNqCUq,4,Male,60,2,3
3946BA2C53A9472D967D601CE35477CE,ewMHzB,3,Male,29,2,2
68B562F235304806B30C73C176B2399B,eNqCUq,4,Male,21,-2,3
46A51AE9D1B840709D086F1DAAB3A937,eNqCUq,1,Female,50,-3,1
C9F024AA1D3B47999105161F18307380,eNqCUq,2,Female,25,0,2
961E7957998344EEB0A96EF70CDDACE9,ewMHzB,1,Female,57,-1,3
EC304583F3AC4B45B6B79A840A0443A0,eNqCUq,4,Female,57,0,0
68C7265498A44B0EB5AAA58C927EA8D4,ewMHzB,3,Male,28,0,2
513A7F9A45474E9697ABB88B2D2E10CE,ewMHzB,4,Female,28,2,3
F5373F6E7BDF49FFBB037D52F429062B,eNqCUq,2,Female,33,2,3
316B835363E44AACB7159DBE246B9EC2,ewMHzB,4,Male,25,1,3
440EFCABDC604AAD99FD2CFD0AF3FA4D,eNqCUq,1,Male,36,0,3
637A401ADBB14DA1887A79D522A7071A,ewMHzB,3,Male,34,-3,2
A2CC7718FF8D48C89A3A5A89631236E2,ewMHzB,4,Male,29,2,3
2DB97E7443E943A09EAD8CB44367BFA4,eNqCUq,2,Male,34,3,3
56D9E0C919184ED0A3D1F9CF4C5F8D3D,eNqCUq,2,Male,35,2,3
EB394BAF654D48F9B0F94746FA7E0288,ewMHzB,2,Male,55,1,1
B58A0ACAAB484CD09243987DA9644DC5,ewMHzB,1,Female,46,1,1
A0224E75AAC4481E9AE9B814CFC0F4F3,eNqCUq,4,Female,25,-2,3
9171C9EEC35A470BBE4FF0533D004B28,ewMHzB,3,Male,41,-1,2
9BDCC854FEC24312AA360A4BE5981F53,eNqCUq,4,Male,24,-2,0
028167C08EAC416E9AB3DABF6D753DE7,ewMHzB,4,Female,27,-1,1
CCE248858ABC441B9C5928779D2F8EEC,ewMHzB,1,Male,30,0,3
DD31DCBFA7F94CF5B0C73C153F995078,ewMHzB,2,Male,51,1,3
624C00EB41F04174AEEC70426487BF87,ewMHzB,3,Female,44,-2,2
711F56FB06AB405EAFF822D8811CCE60,ewMHzB,1,Female,35,2,1
5FF888CC8DF64030A242B91BCBB094B2,eNqCUq,2,Male,49,2,3
9A8EB5A7024249A58CA8E8E4D4AFD854,eNqCUq,4,Male,35,0,1
A9F368811D934B0286D86E7FBE483689,eNqCUq,4,Male,35,3,3
30E8037A5B8F4A8A8CE42F19AC7F5689,ewMHzB,4,Female,32,-2,3
EB9F9EAC4B5544F4BC1A278CD688D723,eNqCUq,4,Male,27,3,0
8AE05E0A2AE74AA69CE40AC86A87F44F,eNqCUq,3,Male,27,-1,-1
41C6C61F06C94686BB8ECF0E53E42DB8,eNqCUq,2,Female,27,-2,2
8FFD8A377311493BB0085175099606BB,ewMHzB,3,Female,38,2,3
