"Var1","Freq","partisan","label"
"Slide30.png",10,"Republican","outgroup blame"
"Slide300.png",10,"Republican","outgroup blame"
"Slide301.png",10,"Democrat","ingroup praise"
"Slide302.png",10,"Democrat","ingroup praise"
"Slide303.png",12,"Democrat","ingroup praise"
"Slide304.png",10,"Democrat","ingroup praise"
"Slide305.png",10,"Democrat","ingroup praise"
"Slide306.png",11,"Democrat","outgroup blame"
"Slide307.png",11,"Democrat","outgroup blame"
"Slide308.png",12,"Democrat","outgroup blame"
"Slide309.png",10,"Democrat","outgroup blame"
"Slide31.png",10,"Democrat","ingroup praise"
"Slide310.png",10,"Democrat","outgroup blame"
"Slide311.png",20,"N/A","neutral"
"Slide312.png",22,"N/A","neutral"
"Slide313.png",21,"N/A","neutral"
"Slide314.png",22,"N/A","neutral"
"Slide315.png",20,"N/A","neutral"
"Slide316.png",21,"N/A","neutral"
"Slide317.png",21,"N/A","neutral"
"Slide318.png",21,"N/A","neutral"
"Slide319.png",21,"N/A","neutral"
"Slide32.png",12,"Democrat","ingroup praise"
"Slide320.png",20,"N/A","neutral"
"Slide321.png",11,"Republican","ingroup praise"
"Slide322.png",10,"Republican","ingroup praise"
"Slide323.png",10,"Republican","ingroup praise"
"Slide324.png",10,"Republican","ingroup praise"
"Slide325.png",10,"Republican","ingroup praise"
"Slide326.png",10,"Republican","outgroup blame"
"Slide327.png",10,"Republican","outgroup blame"
"Slide328.png",10,"Republican","outgroup blame"
"Slide329.png",10,"Republican","outgroup blame"
"Slide33.png",10,"Democrat","ingroup praise"
"Slide330.png",10,"Republican","outgroup blame"
"Slide331.png",11,"Democrat","ingroup praise"
"Slide332.png",10,"Democrat","ingroup praise"
"Slide333.png",10,"Democrat","ingroup praise"
"Slide334.png",10,"Democrat","ingroup praise"
"Slide335.png",10,"Democrat","ingroup praise"
"Slide336.png",11,"Democrat","outgroup blame"
"Slide337.png",10,"Democrat","outgroup blame"
"Slide338.png",11,"Democrat","outgroup blame"
"Slide339.png",10,"Democrat","outgroup blame"
"Slide34.png",10,"Democrat","ingroup praise"
"Slide340.png",11,"Democrat","outgroup blame"
"Slide341.png",20,"N/A","neutral"
"Slide342.png",20,"N/A","neutral"
"Slide343.png",20,"N/A","neutral"
"Slide344.png",21,"N/A","neutral"
"Slide345.png",20,"N/A","neutral"
"Slide346.png",21,"N/A","neutral"
"Slide347.png",20,"N/A","neutral"
"Slide348.png",21,"N/A","neutral"
"Slide349.png",20,"N/A","neutral"
"Slide35.png",11,"Democrat","ingroup praise"
"Slide350.png",20,"N/A","neutral"
"Slide351.png",10,"Republican","ingroup praise"
"Slide352.png",10,"Republican","ingroup praise"
"Slide353.png",10,"Republican","ingroup praise"
"Slide354.png",10,"Republican","ingroup praise"
"Slide355.png",10,"Republican","ingroup praise"
"Slide356.png",10,"Republican","outgroup blame"
"Slide357.png",10,"Republican","outgroup blame"
"Slide358.png",10,"Republican","outgroup blame"
"Slide359.png",10,"Republican","outgroup blame"
"Slide36.png",10,"Democrat","outgroup blame"
"Slide360.png",10,"Republican","outgroup blame"
"Slide361.png",10,"Democrat","ingroup praise"
"Slide362.png",11,"Democrat","ingroup praise"
"Slide363.png",10,"Democrat","ingroup praise"
"Slide364.png",11,"Democrat","ingroup praise"
"Slide365.png",11,"Democrat","ingroup praise"
"Slide366.png",11,"Democrat","outgroup blame"
"Slide367.png",10,"Democrat","outgroup blame"
"Slide368.png",10,"Democrat","outgroup blame"
"Slide369.png",10,"Democrat","outgroup blame"
"Slide37.png",10,"Democrat","outgroup blame"
"Slide370.png",11,"Democrat","outgroup blame"
"Slide371.png",21,"N/A","neutral"
"Slide372.png",20,"N/A","neutral"
"Slide373.png",20,"N/A","neutral"
"Slide374.png",20,"N/A","neutral"
"Slide375.png",20,"N/A","neutral"
"Slide376.png",20,"N/A","neutral"
"Slide377.png",20,"N/A","neutral"
"Slide378.png",21,"N/A","neutral"
"Slide379.png",20,"N/A","neutral"
"Slide38.png",10,"Democrat","outgroup blame"
"Slide380.png",21,"N/A","neutral"
"Slide381.png",10,"Republican","ingroup praise"
"Slide382.png",10,"Republican","ingroup praise"
"Slide383.png",10,"Republican","ingroup praise"
"Slide384.png",10,"Republican","ingroup praise"
"Slide385.png",10,"Republican","ingroup praise"
"Slide386.png",10,"Republican","outgroup blame"
"Slide387.png",10,"Republican","outgroup blame"
"Slide388.png",10,"Republican","outgroup blame"
"Slide389.png",10,"Republican","outgroup blame"
"Slide39.png",11,"Democrat","outgroup blame"
"Slide390.png",10,"Republican","outgroup blame"
"Slide391.png",10,"Democrat","ingroup praise"
"Slide392.png",11,"Democrat","ingroup praise"
"Slide393.png",10,"Democrat","ingroup praise"
"Slide394.png",10,"Democrat","ingroup praise"
"Slide395.png",10,"Democrat","ingroup praise"
"Slide396.png",11,"Democrat","outgroup blame"
"Slide397.png",10,"Democrat","outgroup blame"
"Slide398.png",10,"Democrat","outgroup blame"
"Slide399.png",10,"Democrat","outgroup blame"
"Slide4.png",10,"Democrat","ingroup praise"
"Slide40.png",10,"Democrat","outgroup blame"
"Slide400.png",10,"Democrat","outgroup blame"
"Slide401.png",22,"N/A","neutral"
"Slide402.png",20,"N/A","neutral"
"Slide403.png",21,"N/A","neutral"
"Slide404.png",21,"N/A","neutral"
"Slide405.png",20,"N/A","neutral"
"Slide406.png",20,"N/A","neutral"
"Slide407.png",20,"N/A","neutral"
"Slide408.png",20,"N/A","neutral"
"Slide409.png",21,"N/A","neutral"
"Slide41.png",20,"N/A","neutral"
"Slide410.png",20,"N/A","neutral"
"Slide411.png",10,"Republican","ingroup praise"
"Slide412.png",10,"Republican","ingroup praise"
"Slide413.png",11,"Republican","ingroup praise"
"Slide414.png",10,"Republican","ingroup praise"
"Slide415.png",10,"Republican","ingroup praise"
"Slide416.png",10,"Republican","outgroup blame"
"Slide417.png",10,"Republican","outgroup blame"
"Slide418.png",10,"Republican","outgroup blame"
"Slide419.png",10,"Republican","outgroup blame"
"Slide42.png",20,"N/A","neutral"
"Slide420.png",10,"Republican","outgroup blame"
"Slide421.png",10,"Democrat","ingroup praise"
"Slide422.png",11,"Democrat","ingroup praise"
"Slide423.png",11,"Democrat","ingroup praise"
"Slide424.png",10,"Democrat","ingroup praise"
"Slide425.png",11,"Democrat","ingroup praise"
"Slide426.png",10,"Democrat","outgroup blame"
"Slide427.png",10,"Democrat","outgroup blame"
"Slide428.png",11,"Democrat","outgroup blame"
"Slide429.png",10,"Democrat","outgroup blame"
"Slide43.png",21,"N/A","neutral"
"Slide430.png",10,"Democrat","outgroup blame"
"Slide431.png",20,"N/A","neutral"
"Slide432.png",21,"N/A","neutral"
"Slide433.png",20,"N/A","neutral"
"Slide434.png",20,"N/A","neutral"
"Slide435.png",20,"N/A","neutral"
"Slide436.png",20,"N/A","neutral"
"Slide437.png",21,"N/A","neutral"
"Slide438.png",22,"N/A","neutral"
"Slide439.png",20,"N/A","neutral"
