participant_id,party,assignment_number
5e9a2f95fe11450cc4a6b2be,democrat,68
66b929d1d8f3bcf3b1929bc5,democrat,69
639c68bc52c767567d9cee5b,democrat,70
59b9e2d3d9ebf90001840905,democrat,71
5ee29af522f48c185064d5fd,democrat,72
657daec012d4254e4dc6f89f,democrat,73
667daedf476092c4f2609e26,democrat,74
66f6dfde93de2c0d7eaf463f,democrat,75
6691f2d8acd865fc152edb83,democrat,76
570d22b35e5156000efd8bd5,democrat,77
66435d67125fd343899c4647,democrat,78
60822c29ba64d380f7bd9fd8,democrat,79
65cbf8c525b3403076c1dfb2,democrat,80
669005ce051b2afd282b39df,democrat,81
6595be83dbc6d36b1ef53d28,democrat,82
66dbd5f3eec0242b9d2ce9f2,democrat,83
58d876b14240e50001190090,democrat,84
671d7a754bafa85dac6e0683,democrat,85
5c6f2e7632cb70000169b490,democrat,86
604bd44cb5668ba12cc9376e,democrat,87
605220735560745cf0a16a80,democrat,88
66c3446df74696735081cd12,democrat,89
610863156133d1485b80d389,democrat,90
671176d0ec7b61ae6896ea0a,democrat,91
671fa6442e7c5e8e44e90b69,democrat,92
65c10f720f94a8697e141aa1,democrat,93
5e9389d87d6dc1078fe0ebee,democrat,94
63dc7c4191d5e30193f1db36,democrat,95
66cb78cfb80b0b64d242b0b2,democrat,96
63e55bb2f8e6aec6a4031bd8,democrat,97
66297e62ceb2ea7775b310c2,democrat,98
6077cb38de8f5c783d413450,democrat,99
5e4ab91021c015000c3b74ed,democrat,100
66428090de7c2db3caed1c77,democrat,101
662943e28130e7eb5f034326,democrat,102
66df255fc0e34d721c9b5f1e,democrat,103
670e8c1b152066063b12e080,democrat,104
66b3e1a7d4c519830e80bba1,democrat,105
5c57d3d354f9d30001dbc19b,democrat,106
5d7ff85ffec5620017b07c40,democrat,107
671865ac3a94e9d478286704,democrat,108
671bc3ebfbc803159db8670a,democrat,109
66439d24bf5f2505d7929c12,democrat,110
65a29cdffc75f965e7fbcdc7,democrat,111
662939c49821886e0246c494,democrat,112
668a08bcc623b9b9500b85c8,democrat,113
66461dfd1eb6453139b1db4c,democrat,114
58a53fd327c3bb00014e74e2,democrat,115
